Date,Batch Locations,Gravity,pH,Temperature,ABV,Planned Start Date,Product,Batch,Original Gravity,OG Date
05/23/2024 ,,12.1000,4.8100,70.9000,0.0143,05/21/2024 08:00 AM,Stowaway IPA 2.0,IPA 24067,14.66,05/21/2024 12:00 PM
05/22/2024 ,,3.2000,3.9300,67.8000,0.0388,05/16/2024 08:00 AM,Sea Shandy (7),SEA 24065,10.50,05/16/2024 12:00 PM
05/22/2024 ,,8.8000,4.4600,73.5000,0.0279,05/20/2024 08:00 AM,Coastal Haze,COHZ 24066,13.90,05/20/2024 12:00 PM
05/22/2024 ,,2.6000,4.7000,0.0000,0.0641,05/13/2024 08:00 AM,Stowaway IPA 2.0,IPA 24063,14.41,05/13/2024 12:00 PM
05/22/2024 ,,2.9600,0.0000,0.0000,0.0664,05/07/2024 08:00 AM,Stowaway IPA 2.0,IPA 24061.1,14.85,05/07/2024 12:00 PM
05/22/2024 ,,14.8500,0.0000,0.0000,0.00,05/07/2024 08:00 AM,Stowaway IPA 2.0,IPA 24061.1,14.85,05/07/2024 12:00 PM
05/22/2024 ,,2.9000,4.3000,61.8000,0.0439,05/15/2024 08:00 AM,Staycationland,STAY 24064,11.14,05/15/2024 12:00 PM
05/22/2024 ,,3.3000,4.6200,70.1000,0.0604,05/13/2024 08:00 AM,Stowaway IPA 2.0,IPA 24063,14.41,05/13/2024 12:00 PM
05/21/2024 ,,-1.2000,0.0000,0.0000,0.0496,05/01/2024 08:00 AM,BBC Seltzer Base,BBC Seltz 24058 (SAS Blueberry Lemonade) .1,8.25,05/01/2024 12:00 PM
05/21/2024 ,,8.2500,0.0000,0.0000,0.00,05/01/2024 08:00 AM,BBC Seltzer Base,BBC Seltz 24058 (SAS Blueberry Lemonade) .1,8.25,05/01/2024 12:00 PM
05/21/2024 ,,3.3000,3.8600,63.0000,0.0383,05/16/2024 08:00 AM,Sea Shandy (7),SEA 24065,10.50,05/16/2024 12:00 PM
05/21/2024 ,,13.4000,4.9500,70.0000,0.0028,05/20/2024 08:00 AM,Coastal Haze,COHZ 24066,13.90,05/20/2024 12:00 PM
05/21/2024 ,,3.2000,4.5900,68.0000,0.0604,05/13/2024 08:00 AM,Stowaway IPA 2.0,IPA 24063,14.41,05/13/2024 12:00 PM
05/21/2024 ,,2.9000,4.1900,55.0000,0.0439,05/15/2024 08:00 AM,Staycationland,STAY 24064,11.14,05/15/2024 12:00 PM
05/20/2024 ,,3.4000,3.8300,63.0000,0.0377,05/16/2024 08:00 AM,Sea Shandy (7),SEA 24065,10.50,05/16/2024 12:00 PM
05/20/2024 ,,3.4000,4.6100,70.0000,0.0593,05/13/2024 08:00 AM,Stowaway IPA 2.0,IPA 24063,14.41,05/13/2024 12:00 PM
05/20/2024 ,,3.5000,4.2800,57.0000,0.0407,05/15/2024 08:00 AM,Staycationland,STAY 24064,11.14,05/15/2024 12:00 PM
05/20/2024 ,,2.4500,0.0000,0.0000,0.0386,05/02/2024 08:00 AM,Logger Road Lager,LRL 24059.1,9.70,05/02/2024 12:00 PM
